Gainesville,GNV,29.69006,-82.27178
Gulfport-Biloxi,GPT,30.40728,-89.07009
Green Bay,GRB,44.48507,-88.12959
Grand Island,GRI,40.96747,-98.30861
Killeen,GRK,31.06490,-97.82780
Grand Rapids,GRR,42.88082,-85.52277
Greensboro,GSO,36.09775,-79.93730
Greer,GSP,34.89567,-82.21886
Gustavus,GST,58.42438,-135.70738
Great Falls,GTF,47.48200,-111.37069
Columbus-Starkville-West Point,GTR,33.45033,-88.59137
Gunnison,GUC,38.53396,-106.93318
Agana,GUM,13.48345,-144.79598
Hayden,HDN,40.48118,-107.21766
Hibbing,HIB,47.38660,-92.83899
Helena,HLN,46.60682,-111.98275
Honolulu,HNL,21.31869,-157.92241
Hobbs,HOB,32.68753,-103.21703
Houston,HOU,29.64542,-95.27889
White Plains,HPN,41.06696,-73.70757
Harlingen,HRL,26.22851,-97.65439
Huntsville,HSV,34.64045,-86.77311
Hyannis,HYA,41.66934,-70.28036
Hays,HYS,38.84494,-99.27403
Chantilly,IAD,38.94453,-77.45581
Niagara Falls,IAG,43.10726,-78.94538
Houston,IAH,29.98047,-95.33972
Wichita,ICT,37.64996,-97.43305
Idaho Falls,IDA,43.51456,-112.07017
Wilmington,ILG,39.67872,-75.60653
Wilmington,ILM,34.27061,-77.90256
Iron Mountain/Kingsford,IMT,45.81835,-88.11454
Indianapolis,IND,39.71733,-86.29438
International Falls,INL,48.56619,-93.40307
Williston,ISN,48.17794,-103.64235
Islip,ISP,40.79524,-73.10021
Ithaca,ITH,42.49103,-76.45844
Hilo,ITO,19.72026,-155.04847
Jackson,JAC,43.60732,-110.73774
Jackson,JAN,32.31117,-90.07589
Jacksonville,JAX,30.49406,-81.68786
New York,JFK,40.63975,-73.77893
Joplin,JLN,37.15181,-94.49827
Jamestown,JMS,46.92972,-98.67820
Juneau,JNU,58.35496,-134.57628
Kailua/Kona,KOA,19.73877,-156.04563
Ketchikan,KTN,55.35557,-131.71374
Lansing,LAN,42.77870,-84.58736
Laramie,LAR,41.31205,-105.67499
Las Vegas,LAS,36.08036,-115.15233
Lawton,LAW,34.56771,-98.41664
Los Angeles,LAX,33.94254,-118.40807
Lubbock,LBB,33.66364,-101.82278
Latrobe,LBE,40.27594,-79.40480
Lake Charles,LCH,30.12610,-93.22340
Lexington,LEX,38.03697,-84.60539
Lafayette,LFT,30.20528,-91.98766
New York,LGA,40.77724,-73.87261
Long Beach,LGB,33.81772,-118.15161
Lihue,LIH,21.97598,-159.33896
Little Rock,LIT,34.72940,-92.22425
Lincoln,LNK,40.85097,-96.75925
Laredo,LRD,27.54374,-99.46154
La Crosse,LSE,43.87938,-91.25654
Lewiston,LWS,46.37450,-117.01539
Midland,MAF,31.94253,-102.20191
Saginaw,MBS,43.53291,-84.07965
Kansas City,MCI,39.29761,-94.71391
Orlando,MCO,28.42889,-81.31603
Harrisburg,MDT,40.19350,-76.76340
Chicago,MDW,41.78598,-87.75242
Meridian,MEI,32.33313,-88.75121
Memphis,MEM,35.04242,-89.97667
McAllen,MFE,26.17583,-98.23861
Medford,MFR,42.37423,-122.87350
Montgomery,MGM,32.30064,-86.39398
Manhattan,MHK,39.14097,-96.67083
Manchester,MHT,42.93452,-71.43706
Miami,MIA,25.79325,-80.29056
Milwaukee,MKE,42.94722,-87.89658
Muskegon,MKG,43.16949,-86.23822
Melbourne,MLB,28.10275,-80.64581
Moline,MLI,41.44853,-90.50754
Monroe,MLU,32.51087,-92.03769
Mammoth Lakes,MMH,37.62405,-118.83777
Mobile,MOB,30.69142,-88.24283
Minot,MOT,48.25938,-101.28033
Marquette,MQT,46.35364,-87.39536
Monterey,MRY,36.58698,-121.84295
Madison,MSN,43.13986,-89.33751
Missoula,MSO,46.91631,-114.09056
Minneapolis,MSP,44.88055,-93.21692
New Orleans,MSY,29.99339,-90.25803
Montrose,MTJ,38.50887,-107.89383
Marthas Vineyard,MVY,41.39303,-70.61433
Myrtle Beach,MYR,33.67975,-78.92833
Jacksonville,OAJ,34.82916,-77.61214
Oakland,OAK,37.72129,-122.22072
Kahului,OGG,20.89865,-156.43046
Oklahoma City,OKC,35.39309,-97.60073
Omaha,OMA,41.30252,-95.89417
Nome,OME,64.51220,-165.44525
Ontario,ONT,34.05600,-117.60119
Chicago,ORD,41.97960,-87.90446
Norfolk,ORF,36.89461,-76.20122
Worcester,ORH,42.26734,-71.87571
North Bend,OTH,43.41714,-124.24603
Kotzebue,OTZ,66.88468,-162.59855
Paducah,PAH,37.06083,-88.77375
Plattsburgh,PBG,44.65083,-73.46805
West Palm Beach,PBI,26.68316,-80.09559
Portland,PDX,45.58872,-122.59750
Newport News,PHF,37.13190,-76.49299
Philadelphia,PHL,39.87195,-75.24114
Phoenix,PHX,33.43417,-112.00806
Peoria,PIA,40.66424,-89.69331
Hattiesburg-Laurel,PIB,31.46715,-89.33706
Pocatello,PIH,42.91131,-112.59586
Pittsburgh,PIT,40.49147,-80.23287
Pellston,PLN,45.57093,-84.79672
Pensacola,PNS,30.47331,-87.18744
Pago Pago,PPG,14.33102,-170.71053
Pasco,PSC,46.26468,-119.11903
Ponce,PSE,18.00830,-66.56301
Petersburg,PSG,56.80165,-132.94528
Palm Springs,PSP,33.82922,-116.50625
Pueblo,PUB,38.28909,-104.49657
Providence,PVD,41.72400,-71.42822
Portland,PWM,43.64617,-70.30875
Rapid City,RAP,44.04532,-103.05737
Redding,RDD,40.50898,-122.29340
Redmond,RDM,44.25407,-121.14996
Raleigh,RDU,35.87764,-78.78747
Rhinelander,RHI,45.63119,-89.46745
Richmond,RIC,37.50517,-77.31967
Rock Springs,RKS,41.59422,-109.06519
Reno,RNO,39.49858,-119.76806
Roanoke,ROA,37.32547,-79.97543
Rochester,ROC,43.11887,-77.67238
Roswell,ROW,33.30156,-104.53056
Rochester,RST,43.90883,-92.49799
Ft. Myers,RSW,26.53617,-81.75517
Santa Fe,SAF,35.61678,-106.08814
San Diego,SAN,32.73356,-117.18966
San Antonio,SAT,29.53369,-98.46978
Savannah,SAV,32.12758,-81.20214
Santa Barbara,SBA,34.42621,-119.84037
South Bend,SBN,41.70895,-86.31847
San Luis Obispo,SBP,35.23706,-120.64239
Deadhorse,SCC,70.19476,-148.46516
State College,SCE,40.85121,-77.84630
Louisville,SDF,38.17439,-85.73600
Seattle,SEA,47.44898,-122.30931
San Francisco,SFO,37.61900,-122.37484
Springfield,SGF,37.24433,-93.38686
St George,SGU,37.09058,-113.59306
Shreveport,SHV,32.44663,-93.82560
Sitka,SIT,57.04714,-135.36160
San Jose,SJC,37.36186,-121.92901
San Angelo,SJT,31.35775,-100.49631
San Juan,SJU,18.43942,-66.00183
Salt Lake City,SLC,40.78839,-111.97777
Sacramento,SMF,38.69542,-121.59077
Santa Maria,SMX,34.89925,-120.45758
Santa Ana,SNA,33.67566,-117.86822
Springfield,SPI,39.84395,-89.67762
Wichita Falls,SPS,33.98880,-98.49189
Sarasota,SRQ,27.39533,-82.55411
St Cloud,STC,45.54532,-94.05834
St Louis,STL,38.74769,-90.35999
Charlotte Amalie,STT,18.33731,-64.97336
Christiansted,STX,17.70189,-64.79856
Hailey,SUN,43.50484,-114.29659
Sioux City,SUX,42.40260,-96.38437
Newburgh,SWF,41.50409,-74.10484
Syracuse,SYR,43.11119,-76.10631
Tallahassee,TLH,30.39653,-84.35033
Toledo,TOL,41.58681,-83.80783
Tampa,TPA,27.97547,-82.53325
Bristol,TRI,36.47521,-82.40742
Trenton,TTN,40.27669,-74.81347
Tulsa,TUL,36.19837,-95.88824
Tucson,TUS,32.11608,-110.94103
Traverse City,TVC,44.74144,-85.58224
Twin Falls,TWF,42.48180,-114.48774
Texarkana,TXK,33.45371,-93.99102
Tyler,TYR,32.35414,-95.40239
Knoxville,TYS,35.81249,-83.99286
St. Augustine,UST,29.95925,-81.33972
Vernal,VEL,40.44090,-109.50992
Valdosta,VLD,30.78250,-83.27672
Valparaiso,VPS,30.48325,-86.52540
Wrangell,WRG,56.48433,-132.36982
West Yellowstone,WYS,44.68840,-111.11764
Fayetteville/Springdale/Rogers,XNA,36.28187,-94.30681
Yakutat,YAK,59.50336,-139.66023
Yuma,YUM,32.65658,-114.60597
